,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,radius,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,weight,ring-number,ring-type,spore-print-color,population,habitat,class
23,x,y,n,t,n,f,c,b,w,t,b,216,s,s,p,w,p,w,24,o,p,k,v,d,e
24,x,y,y,f,f,f,c,b,g,e,b,254,k,k,n,p,p,w,25,o,l,h,y,d,p
25,k,s,n,t,n,f,c,b,w,e,?,21,s,s,e,w,p,w,25,t,e,w,c,w,e
26,x,f,n,t,n,f,c,b,p,t,b,175,s,s,w,g,p,w,24,o,p,k,y,d,e
27,x,s,w,f,n,f,w,b,n,t,e,198,s,f,w,w,p,w,25,o,e,n,a,g,e
28,f,f,w,f,n,f,w,b,p,t,e,134,f,f,w,w,p,w,61,o,e,k,s,g,e
29,f,f,w,f,n,f,w,b,k,t,e,136,s,s,w,w,p,w,41,o,e,k,a,g,e
30,x,y,g,t,n,f,c,b,u,t,b,253,s,s,g,g,p,w,24,o,p,k,v,d,e
31,x,s,n,t,n,f,c,b,w,e,?,462,s,s,e,e,p,w,23,t,e,w,c,w,e
32,f,y,g,f,f,f,c,b,h,e,b,105,k,k,n,n,p,w,53,o,l,h,y,g,p
33,f,y,y,t,l,f,c,b,n,e,r,343,s,y,w,w,p,w,23,o,p,k,y,g,e
34,x,f,g,t,n,f,c,b,u,t,b,177,s,s,w,p,p,w,30,o,p,k,v,d,e
35,x,s,y,t,a,f,c,b,k,e,c,24,s,s,w,w,p,w,36,o,p,k,s,g,e
36,f,s,n,f,f,f,c,n,b,t,?,32,s,k,p,p,p,w,27,o,e,w,v,p,p
37,f,s,g,f,n,f,w,b,h,t,e,1,s,f,w,w,p,w,23,o,e,n,a,g,e
38,f,f,g,f,n,f,w,b,n,t,e,163,f,s,w,w,p,w,23,o,e,n,s,g,e
39,x,y,n,t,n,f,c,b,p,t,b,27,s,s,w,g,p,w,45,o,p,n,v,d,e
40,b,y,w,t,l,f,c,b,w,e,c,53,s,s,w,w,p,w,45,o,p,k,s,g,e
41,x,s,w,t,a,f,c,b,w,e,c,3,s,s,w,w,p,w,23,o,p,n,s,m,e
42,f,s,g,t,f,f,c,b,p,t,b,169,f,s,w,w,p,w,43,o,p,h,s,g,p
43,x,y,g,t,n,f,c,b,w,t,b,312,s,s,p,g,p,w,23,o,p,n,y,d,e
44,x,s,w,f,c,f,w,n,g,e,b,97,s,s,w,w,p,w,64,o,p,n,s,d,p
45,x,y,n,f,y,f,c,n,b,t,?,25,k,k,w,p,p,w,23,o,e,w,v,l,p
46,x,y,g,t,n,f,c,b,u,t,b,121,s,s,w,g,p,w,25,o,p,n,y,d,e
47,x,y,r,f,n,f,c,n,h,e,?,43,s,f,w,w,p,w,15,o,f,h,v,d,e
48,f,f,y,f,f,f,c,b,g,e,b,232,k,k,b,n,p,w,69,o,l,h,y,d,p
49,x,s,e,f,s,f,c,n,b,t,?,214,k,s,p,w,p,w,23,o,e,w,v,p,p
50,f,s,n,f,y,f,c,n,b,t,?,278,s,s,w,w,p,w,33,o,e,w,v,d,p
51,f,y,n,t,n,f,c,b,n,t,b,45,s,s,p,p,p,w,23,o,p,n,y,d,e
52,x,s,g,f,n,f,w,b,w,e,?,108,s,k,w,w,p,w,40,t,p,w,s,g,e
53,x,y,w,t,a,f,c,b,k,e,c,7,s,s,w,w,p,w,27,o,p,n,s,g,e
54,x,y,y,f,f,f,c,b,p,e,b,11,k,k,b,p,p,w,45,o,l,h,v,p,p
55,f,y,n,t,n,f,c,b,u,t,b,223,s,s,p,p,p,w,24,o,p,n,v,d,e
56,x,f,y,f,f,f,c,b,h,e,b,103,k,k,p,b,p,w,23,o,l,h,y,g,p
57,f,f,e,t,n,f,c,b,p,t,b,167,s,s,p,w,p,w,50,o,p,n,y,d,e
58,x,y,e,t,n,f,c,b,u,t,b,188,s,s,g,w,p,w,23,o,p,k,y,d,e
59,k,y,e,f,f,f,c,n,b,t,?,65,k,k,p,p,p,w,35,o,e,w,v,d,p
60,x,f,g,f,n,f,w,b,n,t,e,19,s,f,w,w,p,w,23,o,e,k,s,g,e
61,x,f,e,t,n,f,c,b,w,t,b,130,s,s,p,w,p,w,23,o,p,n,v,d,e
62,f,f,y,f,f,f,c,b,p,e,b,116,k,k,b,p,p,w,72,o,l,h,v,g,p
63,x,f,w,f,c,f,w,n,n,e,b,333,s,s,w,w,p,w,23,o,p,n,v,d,p
64,k,s,e,f,f,f,c,n,b,t,?,148,s,k,w,p,p,w,34,o,e,w,v,p,p
65,f,s,b,t,n,f,c,b,r,e,b,99,s,s,w,w,p,w,26,t,p,r,v,m,p
66,s,f,g,f,n,f,c,n,n,e,e,12,s,s,w,w,p,w,24,o,p,n,y,u,e
67,x,s,b,t,f,f,c,b,p,t,b,205,f,f,w,w,p,w,27,o,p,h,s,u,p
68,x,y,g,f,f,f,c,b,h,e,b,53,k,k,p,b,p,w,23,o,l,h,y,d,p
69,f,s,n,t,p,f,c,n,n,e,e,5,s,s,w,w,p,w,24,o,p,k,s,g,p
70,f,f,w,t,l,f,w,n,w,t,b,35,s,s,w,w,p,w,22,o,p,u,v,d,e
71,f,s,e,f,f,f,c,n,b,t,?,138,k,k,w,w,p,w,31,o,e,w,v,d,p
72,f,f,g,f,f,f,c,b,g,e,b,327,k,k,n,n,p,w,23,o,l,h,y,g,p
73,x,s,b,t,f,f,c,b,p,t,b,419,s,s,w,w,p,w,32,o,p,h,v,u,p
74,f,f,n,t,n,f,c,b,n,t,b,121,s,s,g,w,p,w,23,o,p,n,v,d,e
75,f,f,e,t,n,f,c,b,p,t,b,397,s,s,w,p,p,w,52,o,p,k,y,d,e
76,x,f,n,t,n,f,c,b,n,t,b,6,s,s,w,g,p,w,29,o,p,n,y,d,e
77,x,f,y,f,f,f,c,b,g,e,b,216,k,k,n,b,p,w,23,o,l,h,v,g,p
78,f,f,e,t,n,f,c,b,n,t,b,398,s,s,g,p,p,w,35,o,p,k,v,d,e
79,x,f,n,f,n,f,c,n,k,e,e,61,s,s,w,w,p,w,51,o,p,k,v,u,e
80,f,f,g,f,f,f,c,b,h,e,b,313,k,k,n,n,p,w,31,o,l,h,y,p,p
81,f,y,e,f,f,f,c,n,b,t,?,66,k,s,p,w,p,w,23,o,e,w,v,l,p
82,b,y,y,f,n,f,c,n,w,e,?,216,k,y,w,n,p,w,26,o,e,w,v,d,p
83,k,s,e,f,f,f,c,n,b,t,?,336,k,s,p,w,p,w,35,o,e,w,v,d,p
84,f,y,n,t,n,f,c,b,p,t,b,530,s,s,p,p,p,w,30,o,p,k,v,d,e
85,k,s,n,t,n,f,c,b,e,e,?,10,s,s,e,w,p,w,43,t,e,w,c,w,e
86,f,y,n,t,n,f,c,b,w,t,b,100,s,s,w,g,p,w,87,o,p,n,v,d,e
87,f,y,e,t,n,f,c,b,w,t,b,89,s,s,w,g,p,w,54,o,p,k,y,d,e
88,f,s,n,f,y,f,c,n,b,t,?,1,s,s,p,w,p,w,60,o,e,w,v,d,p
89,f,f,g,t,n,f,c,b,p,t,b,457,s,s,p,w,p,w,34,o,p,k,y,d,e
90,x,f,g,f,c,f,c,n,n,e,b,307,s,s,w,w,p,w,27,o,p,n,s,d,p
91,x,s,w,t,a,f,c,b,n,e,c,30,s,s,w,w,p,w,23,o,p,n,n,m,e
92,x,y,w,t,a,f,c,b,w,e,c,190,s,s,w,w,p,w,23,o,p,k,n,m,e
93,k,y,n,f,s,f,c,n,b,t,?,554,k,k,w,p,p,w,25,o,e,w,v,p,p
94,x,s,e,f,y,f,c,n,b,t,?,36,s,s,p,p,p,w,52,o,e,w,v,l,p
95,x,f,n,f,n,f,w,b,h,t,e,65,f,f,w,w,p,w,38,o,e,n,s,g,e
96,k,s,n,f,s,f,c,n,b,t,?,578,s,s,p,p,p,w,40,o,e,w,v,d,p
97,b,s,y,t,a,f,c,b,k,e,c,13,s,s,w,w,p,w,32,o,p,n,s,g,e
98,x,y,y,f,f,f,c,b,p,e,b,229,k,k,n,b,p,w,26,o,l,h,y,d,p
99,x,y,y,f,f,f,c,b,h,e,b,145,k,k,b,p,p,w,23,o,l,h,y,p,p
100,x,f,g,f,c,f,w,n,g,e,b,150,s,s,w,w,p,w,32,o,p,n,s,d,p
101,x,s,w,f,n,f,w,b,n,t,e,263,f,s,w,w,p,w,28,o,e,k,a,g,e
102,x,y,g,f,f,f,c,b,p,e,b,129,k,k,n,p,p,w,25,o,l,h,y,g,p
103,x,f,w,f,c,f,c,n,g,e,b,13,s,s,w,w,p,w,53,o,p,k,s,d,p
104,x,y,e,t,n,f,c,b,n,t,b,104,s,s,g,w,p,w,25,o,p,n,y,d,e
105,f,s,w,t,f,f,c,b,h,t,b,420,f,s,w,w,p,w,58,o,p,h,v,u,p
106,k,y,n,f,y,f,c,n,b,t,?,248,s,k,p,p,p,w,22,o,e,w,v,l,p
107,f,s,g,t,f,f,c,b,p,t,b,144,s,f,w,w,p,w,36,o,p,h,v,u,p
108,f,f,g,t,n,f,c,b,n,t,b,177,s,s,p,g,p,w,23,o,p,k,v,d,e
109,x,f,n,f,n,f,w,b,p,t,e,32,f,s,w,w,p,w,23,o,e,k,a,g,e
110,x,f,n,f,n,f,c,n,w,e,?,126,k,y,w,n,p,w,65,o,e,w,v,d,p
111,x,s,b,t,f,f,c,b,h,t,b,129,f,s,w,w,p,w,23,o,p,h,v,u,p
112,b,s,y,t,a,f,c,b,w,e,c,1,s,s,w,w,p,w,26,o,p,k,s,m,e
113,x,f,n,f,n,f,c,n,g,e,e,30,s,s,w,w,p,w,25,o,p,k,y,u,e
114,x,f,y,f,f,f,c,b,p,e,b,264,k,k,n,p,p,w,35,o,l,h,y,p,p
115,x,f,g,f,f,f,c,b,p,e,b,141,k,k,p,b,p,w,23,o,l,h,v,g,p
116,x,f,g,t,n,f,c,b,p,t,b,481,s,s,w,w,p,w,42,o,p,k,v,d,e
117,f,y,y,t,a,f,c,b,n,e,r,57,s,y,w,w,p,w,23,o,p,n,s,p,e
118,x,s,n,t,p,f,c,n,k,e,e,60,s,s,w,w,p,w,68,o,p,n,v,u,p
119,x,y,n,f,f,f,c,n,b,t,?,28,s,k,p,w,p,w,23,o,e,w,v,p,p
120,x,s,y,t,a,f,w,n,p,t,b,85,s,s,w,w,p,w,34,o,p,n,v,d,e
121,x,y,y,t,l,f,c,b,n,e,c,28,s,s,w,w,p,w,26,o,p,n,s,g,e
122,b,y,w,t,a,f,c,b,n,e,c,83,s,s,w,w,p,w,77,o,p,k,n,g,e
123,f,y,g,f,f,f,c,b,g,e,b,337,k,k,p,n,p,w,23,o,l,h,y,d,p
124,x,f,p,f,c,f,c,n,u,e,b,349,s,s,w,w,p,w,27,o,p,n,s,d,p
125,f,y,y,t,l,f,c,b,w,e,r,1,s,y,w,w,p,w,60,o,p,k,s,p,e
126,b,y,n,f,n,f,c,b,w,e,b,8,y,y,n,n,p,w,28,t,p,w,y,p,e
127,f,f,n,f,n,f,w,b,n,t,e,17,s,f,w,w,p,w,68,o,e,n,s,g,e
128,f,y,r,f,n,f,c,n,w,e,?,73,s,f,w,w,p,w,23,o,f,h,y,d,e
129,x,f,g,t,n,f,c,b,n,t,b,24,s,s,p,g,p,w,27,o,p,n,y,d,e
130,k,s,n,f,n,a,c,b,n,e,?,325,s,s,o,o,p,o,26,o,p,o,v,l,e
131,f,f,g,f,n,f,w,b,h,t,e,135,s,f,w,w,p,w,40,o,e,n,a,g,e
132,f,f,n,f,n,f,c,n,p,e,e,105,s,s,w,w,p,w,51,o,p,k,v,u,e
133,x,f,n,t,n,f,c,b,n,t,b,44,s,s,p,w,p,w,22,o,p,k,v,d,e
134,x,s,n,f,n,f,w,b,p,t,e,19,s,f,w,w,p,w,33,o,e,n,s,g,e
135,x,y,n,t,n,f,c,b,u,t,b,244,s,s,g,g,p,w,23,o,p,n,y,d,e
136,f,s,n,f,n,a,c,b,n,e,?,642,s,s,o,o,p,o,24,o,p,b,c,l,e
137,f,f,w,f,n,f,w,b,h,t,e,117,s,f,w,w,p,w,23,o,e,n,a,g,e
138,f,y,e,t,n,f,c,b,n,t,b,204,s,s,p,g,p,w,33,o,p,n,v,d,e
139,f,y,n,t,p,f,c,n,w,e,e,185,s,s,w,w,p,w,23,o,p,k,v,g,p
140,f,y,e,t,n,f,c,b,n,t,b,4,s,s,g,g,p,w,23,o,p,n,v,d,e
141,x,y,g,t,n,f,c,b,u,t,b,146,s,s,p,w,p,w,38,o,p,k,v,d,e
142,x,y,n,t,n,f,c,b,u,t,b,349,s,s,g,g,p,w,52,o,p,k,v,d,e
143,f,s,e,f,f,f,c,n,b,t,?,75,k,s,w,p,p,w,40,o,e,w,v,d,p
144,f,y,n,t,n,f,c,b,u,t,b,304,s,s,g,p,p,w,26,o,p,k,v,d,e
145,k,s,n,f,n,a,c,b,y,e,?,538,s,s,o,o,p,o,39,o,p,n,c,l,e
146,x,y,y,f,f,f,c,b,g,e,b,209,k,k,n,n,p,w,55,o,l,h,v,p,p
147,x,y,y,f,f,f,c,b,g,e,b,37,k,k,b,p,p,w,23,o,l,h,y,g,p
148,f,y,e,t,n,f,c,b,p,t,b,552,s,s,p,g,p,w,26,o,p,n,v,d,e
149,f,y,e,f,s,f,c,n,b,t,?,287,s,k,p,p,p,w,26,o,e,w,v,p,p
150,f,y,b,t,n,f,c,b,e,e,?,135,s,s,w,e,p,w,41,t,e,w,c,w,e
151,x,y,y,t,a,f,c,b,p,e,r,84,s,y,w,w,p,w,43,o,p,k,s,g,e
152,x,f,g,f,f,f,c,b,p,e,b,109,k,k,p,p,p,w,39,o,l,h,y,g,p
153,b,s,w,t,l,f,c,b,k,e,c,148,s,s,w,w,p,w,23,o,p,k,n,g,e
154,f,y,y,f,f,f,c,b,h,e,b,11,k,k,b,b,p,w,32,o,l,h,v,g,p
155,x,f,e,t,n,f,c,b,u,t,b,118,s,s,w,g,p,w,24,o,p,n,v,d,e
156,x,f,e,t,n,f,c,b,n,t,b,12,s,s,p,w,p,w,29,o,p,k,y,d,e
157,f,f,g,f,f,f,c,b,h,e,b,304,k,k,b,b,p,w,58,o,l,h,v,p,p
158,k,s,n,f,y,f,c,n,b,t,?,239,s,k,w,w,p,w,49,o,e,w,v,p,p
159,f,y,g,f,f,f,c,b,p,e,b,5,k,k,b,p,p,w,60,o,l,h,y,g,p
160,k,y,n,f,s,f,c,n,b,t,?,348,s,s,p,p,p,w,23,o,e,w,v,d,p
161,k,y,c,f,m,f,c,b,w,e,c,180,k,y,c,c,p,w,69,n,n,w,c,d,p
162,f,y,g,t,n,f,c,b,w,t,b,258,s,s,g,g,p,w,29,o,p,k,y,d,e
163,f,f,g,t,n,f,c,b,p,t,b,164,s,s,w,p,p,w,24,o,p,k,v,d,e
164,k,s,n,f,s,f,c,n,b,t,?,557,k,s,p,w,p,w,59,o,e,w,v,l,p
165,f,s,n,f,n,a,c,b,y,e,?,327,s,s,o,o,p,n,23,o,p,y,c,l,e
166,x,s,w,f,c,f,w,n,n,e,b,5,s,s,w,w,p,w,24,o,p,n,s,d,p
167,f,s,n,f,n,f,w,b,k,t,e,2,s,s,w,w,p,w,23,o,e,n,s,g,e
168,k,y,e,f,y,f,c,n,b,t,?,256,s,k,w,p,p,w,23,o,e,w,v,l,p
169,x,y,y,f,f,f,c,b,g,e,b,302,k,k,p,n,p,w,25,o,l,h,y,d,p
170,f,f,y,f,f,f,c,b,p,e,b,126,k,k,p,n,p,w,38,o,l,h,v,p,p
171,f,s,p,t,n,f,c,b,w,e,b,106,s,s,w,w,p,w,28,t,p,r,v,m,p
172,x,f,w,f,n,f,w,b,h,t,e,125,f,f,w,w,p,w,29,o,e,k,s,g,e
173,f,f,n,f,n,f,w,b,h,t,e,33,s,f,w,w,p,w,29,o,e,n,s,g,e
174,f,s,n,f,n,f,w,b,n,t,e,118,s,s,w,w,p,w,28,o,e,k,a,g,e
175,x,f,n,t,n,f,c,b,n,t,b,9,s,s,w,p,p,w,23,o,p,k,v,d,e
176,k,s,n,f,f,f,c,n,b,t,?,271,k,s,p,p,p,w,46,o,e,w,v,p,p
177,f,f,n,t,n,f,c,b,u,t,b,238,s,s,w,w,p,w,25,o,p,n,v,d,e
178,k,y,e,f,y,f,c,n,b,t,?,216,k,s,p,w,p,w,27,o,e,w,v,p,p
179,f,y,r,f,n,f,c,n,w,e,?,2,s,f,w,w,p,w,41,o,f,h,v,d,e
180,x,s,y,t,l,f,c,b,n,e,c,101,s,s,w,w,p,w,60,o,p,n,n,g,e
181,x,y,n,t,a,f,c,b,w,e,r,3,s,y,w,w,p,w,23,o,p,n,y,g,e
182,x,y,n,t,n,f,c,b,n,t,b,404,s,s,p,w,p,w,63,o,p,n,y,d,e
183,x,s,n,f,s,f,c,n,b,t,?,12,s,k,p,w,p,w,91,o,e,w,v,p,p
184,x,y,y,t,a,f,c,b,n,e,r,79,s,y,w,w,p,w,23,o,p,k,y,p,e
185,x,s,e,f,s,f,c,n,b,t,?,18,s,k,w,p,p,w,34,o,e,w,v,p,p
186,b,y,w,t,l,f,c,b,w,e,c,66,s,s,w,w,p,w,34,o,p,n,n,m,e
187,f,y,g,f,f,f,c,b,p,e,b,173,k,k,n,p,p,w,23,o,l,h,v,g,p
188,f,f,g,t,n,f,c,b,w,t,b,15,s,s,w,p,p,w,25,o,p,k,v,d,e
189,b,y,y,t,a,f,c,b,w,e,c,1,s,s,w,w,p,w,23,o,p,n,s,g,e
190,f,y,g,f,f,f,c,b,g,e,b,110,k,k,p,n,p,w,54,o,l,h,v,p,p
191,f,s,n,t,n,f,c,b,w,e,?,111,s,s,w,w,p,w,41,t,e,w,c,w,e
192,x,y,n,t,n,f,c,b,u,t,b,134,s,s,w,g,p,w,27,o,p,k,v,d,e
193,x,s,p,f,c,f,w,n,u,e,b,421,s,s,w,w,p,w,30,o,p,n,v,d,p
194,f,y,e,t,n,f,c,b,u,t,b,111,s,s,p,w,p,w,35,o,p,k,v,d,e
195,x,y,g,f,f,f,c,b,h,e,b,219,k,k,p,b,p,w,33,o,l,h,y,g,p
196,x,y,n,t,a,f,c,b,p,e,r,64,s,y,w,w,p,w,46,o,p,n,s,g,e
197,x,s,w,t,l,f,c,b,g,e,c,1,s,s,w,w,p,w,24,o,p,n,n,g,e
198,f,y,e,f,f,f,c,n,b,t,?,258,s,s,w,w,p,w,23,o,e,w,v,d,p
199,f,y,e,f,f,f,c,n,b,t,?,228,k,k,p,w,p,w,23,o,e,w,v,d,p
200,k,s,n,f,f,f,c,n,b,t,?,51,k,k,w,w,p,w,23,o,e,w,v,p,p
201,f,f,n,t,n,f,c,b,p,t,b,416,s,s,p,g,p,w,23,o,p,n,v,d,e
202,f,y,e,f,s,f,c,n,b,t,?,3,k,k,w,w,p,w,23,o,e,w,v,l,p
203,x,s,p,f,c,f,c,n,u,e,b,148,s,s,w,w,p,w,38,o,p,n,v,d,p
204,f,f,y,f,f,f,c,b,g,e,b,194,k,k,n,b,p,w,45,o,l,h,v,g,p
205,x,y,e,t,n,f,c,b,n,t,b,243,s,s,w,p,p,w,27,o,p,k,y,d,e
206,x,f,g,t,n,f,c,b,w,t,b,247,s,s,p,w,p,w,60,o,p,k,y,d,e
207,x,y,y,t,a,f,c,b,w,e,r,62,s,y,w,w,p,w,29,o,p,n,y,g,e
208,x,y,e,f,y,f,c,n,b,t,?,124,s,k,p,p,p,w,33,o,e,w,v,p,p
209,f,f,e,t,n,f,c,b,w,t,b,123,s,s,w,g,p,w,31,o,p,k,y,d,e
210,f,y,n,t,n,f,c,b,w,t,b,399,s,s,w,g,p,w,35,o,p,k,v,d,e
211,f,s,n,f,n,f,w,b,k,t,e,135,f,f,w,w,p,w,24,o,e,n,a,g,e
212,x,y,y,t,l,f,c,b,g,e,c,6,s,s,w,w,p,w,72,o,p,k,n,m,e
213,x,y,g,f,f,f,c,b,g,e,b,248,k,k,b,p,p,w,48,o,l,h,v,p,p
214,x,s,e,f,s,f,c,n,b,t,?,23,k,k,w,p,p,w,46,o,e,w,v,l,p
215,x,y,n,f,f,f,c,n,b,t,?,124,s,s,w,w,p,w,23,o,e,w,v,p,p
216,k,s,p,t,n,f,c,b,w,e,?,15,s,s,e,e,p,w,62,t,e,w,c,w,e
217,f,s,n,f,n,a,c,b,n,e,?,308,s,s,o,o,p,n,23,o,p,n,c,l,e
218,f,y,y,f,f,f,c,b,p,e,b,188,k,k,p,p,p,w,25,o,l,h,v,d,p
219,f,f,y,f,f,f,c,b,g,e,b,328,k,k,n,b,p,w,25,o,l,h,v,d,p
220,x,y,y,t,a,f,c,b,k,e,c,276,s,s,w,w,p,w,48,o,p,n,s,g,e
221,k,s,n,f,y,f,c,n,b,t,?,339,k,s,p,p,p,w,38,o,e,w,v,l,p
222,x,s,p,f,c,f,c,n,p,e,b,582,s,s,w,w,p,w,28,o,p,k,v,d,p
223,f,y,n,t,n,f,c,b,w,t,b,279,s,s,w,p,p,w,46,o,p,n,y,d,e
224,f,f,g,t,n,f,c,b,n,t,b,202,s,s,p,p,p,w,50,o,p,n,y,d,e
225,x,s,n,f,f,f,c,n,b,t,?,1,s,k,p,p,p,w,29,o,e,w,v,d,p
226,x,f,g,f,n,f,w,b,n,t,e,1,s,f,w,w,p,w,23,o,e,n,a,g,e
227,x,s,e,f,f,f,c,n,b,t,?,41,k,k,w,w,p,w,26,o,e,w,v,p,p
228,x,s,e,f,s,f,c,n,b,t,?,297,k,k,w,w,p,w,23,o,e,w,v,d,p
229,x,s,e,f,s,f,c,n,b,t,?,430,s,s,w,p,p,w,30,o,e,w,v,l,p
230,f,y,n,t,a,f,c,b,n,e,r,35,s,y,w,w,p,w,24,o,p,k,s,p,e
231,x,s,y,t,l,f,c,b,k,e,c,28,s,s,w,w,p,w,23,o,p,k,s,m,e
232,x,y,y,t,l,f,c,b,k,e,c,5,s,s,w,w,p,w,23,o,p,n,n,g,e
233,b,s,n,f,n,a,c,b,y,e,?,700,s,s,o,o,p,o,23,o,p,b,v,l,e
234,x,s,g,t,f,f,c,b,h,t,b,181,s,f,w,w,p,w,41,o,p,h,s,u,p
235,k,y,e,f,f,f,c,n,b,t,?,678,s,k,p,w,p,w,26,o,e,w,v,d,p
236,b,s,w,t,a,f,c,b,w,e,c,129,s,s,w,w,p,w,23,o,p,k,n,g,e
237,x,f,e,t,n,f,c,b,w,t,b,95,s,s,w,g,p,w,25,o,p,k,v,d,e
238,f,f,w,f,n,f,w,b,k,t,e,88,f,f,w,w,p,w,38,o,e,n,s,g,e
239,k,y,n,f,s,f,c,n,b,t,?,558,s,k,p,p,p,w,26,o,e,w,v,p,p
240,f,s,n,f,s,f,c,n,b,t,?,600,k,s,w,p,p,w,52,o,e,w,v,d,p
241,x,f,g,f,f,f,c,b,p,e,b,211,k,k,b,p,p,w,37,o,l,h,v,d,p
242,f,y,n,t,n,f,c,b,w,e,b,280,s,s,w,w,p,w,24,t,p,w,y,p,e
243,f,y,g,f,f,f,c,b,g,e,b,69,k,k,b,n,p,w,23,o,l,h,y,d,p
244,f,f,g,f,n,f,w,b,h,t,e,18,f,s,w,w,p,w,62,o,e,k,s,g,e
245,b,y,y,t,a,f,c,b,k,e,c,98,s,s,w,w,p,w,41,o,p,n,n,m,e
246,k,y,e,f,f,f,c,n,b,t,?,723,s,k,p,w,p,w,49,o,e,w,v,l,p
247,k,y,e,f,y,f,c,n,b,t,?,388,s,k,p,p,p,w,23,o,e,w,v,p,p
248,f,f,w,f,n,f,w,b,h,t,e,74,s,f,w,w,p,w,38,o,e,k,a,g,e
249,f,f,g,f,n,f,w,b,h,t,e,28,f,s,w,w,p,w,36,o,e,n,a,g,e
250,x,s,g,t,f,f,c,b,w,t,b,228,f,f,w,w,p,w,25,o,p,h,v,g,p
251,x,f,g,t,n,f,c,b,n,t,b,154,s,s,p,g,p,w,23,o,p,k,y,d,e
252,x,f,w,f,n,f,w,b,h,t,e,46,f,f,w,w,p,w,51,o,e,k,a,g,e
253,x,f,y,f,f,f,c,b,g,e,b,8,k,k,b,p,p,w,27,o,l,h,v,g,p
254,f,f,n,t,n,f,c,b,u,t,b,8,s,s,w,p,p,w,56,o,p,n,y,d,e
255,x,f,g,f,c,f,c,n,g,e,b,67,s,s,w,w,p,w,25,o,p,n,s,d,p
256,f,s,e,f,f,f,c,n,b,t,?,26,s,k,w,p,p,w,23,o,e,w,v,p,p
257,f,y,y,f,f,f,c,b,g,e,b,222,k,k,p,b,p,w,53,o,l,h,v,g,p
258,x,f,n,t,n,f,c,b,p,t,b,8,s,s,g,p,p,w,52,o,p,n,y,d,e
259,f,s,n,f,n,f,w,b,p,t,e,134,s,s,w,w,p,w,25,o,e,n,s,g,e
260,x,f,g,f,f,f,c,b,p,e,b,437,k,k,b,b,p,w,27,o,l,h,y,g,p
261,x,f,y,f,f,f,c,b,p,e,b,64,k,k,b,p,p,w,23,o,l,h,v,p,p
262,x,s,b,t,f,f,c,b,w,t,b,9,s,s,w,w,p,w,23,o,p,h,v,u,p
